Language,Optimaize,Tika
af,22,0
an,5,0
ar,67,0
ast,212,0
be,2,4
bg,42,0
bn,27,0
br,161,0
ca,100,407
cs,54,0
cy,40,0
da,511,74
de,1041,906
el,38,33
en,700843,545733
eo,0,415
es,1390,1127
et,18,25097
eu,4,0
fa,19,87
fi,289,768
fr,1149,18744
ga,7,0
gl,13,2744
he,22,0
hi,55,0
hr,19,0
ht,4,0
hu,57,4464
id,19,0
is,2,981
it,91,37194
ja,357,0
ko,99,0
lt,13,23204
lv,16,0
mk,10,0
ms,16,0
mt,18,0
nl,175,172
no,180,23896
oc,24,0
pl,73,124
pt,363,262
ro,46,28052
ru,131,173
sk,27,4930
sl,20,376
so,10,0
sq,1,0
sr,7,0
sv,74,64
sw,14,0
th,238,231
tl,68,0
tr,67,0
uk,23,152
ur,15,0
vi,82,0
zh,414,0
n/a,11510,0
